topic_0_ai_ethical_governance_ethics,topic_10_embodied_robot_reinforcement_reinforcement learning,topic_11_spiking_neuromorphic_spiking neural_neural,topic_12_game_games_players_player,topic_13_llms_language_language models_large language,topic_14_software_code_software engineering_engineering,topic_15_quantum_quantum computing_classical_computing,topic_16_deep_neural_learning_deep learning,topic_17_emotion_emotional_emotions_emotion recognition,topic_18_fairness_fair_bias_ai fairness,topic_19_federated_federated learning_fl_privacy,topic_1_xai_explanations_explainable_explanation,topic_20_agricultural_agriculture_crop_species,topic_21_medical_clinical_llms_language,topic_22_generation_3d_video_diffusion,topic_23_healthcare_clinical_medical_care,topic_24_intelligence_agi_general_artificial,topic_25_environmental_sustainable_carbon_energy,topic_26_adversarial_attacks_attack_adversarial attacks,topic_2_cancer_images_imaging_covid19,topic_3_education_students_educational_genai,topic_4_molecular_materials_drug_discovery,topic_5_traffic_driving_autonomous_vehicles,topic_6_creative_creativity_art_generative,topic_7_wireless_6g_network_networks,topic_8_multimodal_visual_mllms_reasoning,topic_9_hardware_accelerators_memory_gpu,date
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2014-01-01
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-01
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014-03-01
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014-04-01
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-01
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-01
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2014-09-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014-10-01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-11-01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-12-01
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2015-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2015-04-01
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2015-06-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2015-07-01
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-10-01
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015-11-01
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2015-12-01
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2016-01-01
1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2016-02-01
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016-03-01
0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2016-05-01
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016-06-01
0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-01
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2016-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2016-09-01
0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-10-01
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016-11-01
1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2016-12-01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-01-01
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-02-01
0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017-03-01
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-04-01
1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2017-05-01
2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017-06-01
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2017-07-01
0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2017-08-01
1,3,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2017-09-01
1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2017-10-01
1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2017-11-01
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,4,1,2017-12-01
0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2018-01-01
1,1,0,1,0,1,1,2,0,0,0,3,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,2018-02-01
2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,2018-03-01
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2018-04-01
1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,2018-05-01
1,1,1,1,0,0,0,1,1,1,0,2,0,0,1,2,2,0,1,0,1,0,0,0,0,1,0,2018-06-01
1,2,2,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2018-07-01
1,1,0,1,0,0,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2018-08-01
4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4,0,1,2018-09-01
3,1,1,5,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,5,1,0,0,2,2018-10-01
1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,2018-11-01
2,0,0,2,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,2018-12-01
2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,1,1,0,0,0,0,1,1,2019-01-01
0,1,3,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,2019-02-01
2,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,3,2,1,3,1,2019-03-01
2,1,0,3,0,0,1,1,2,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,2,2019-04-01
3,2,1,2,0,0,0,2,2,1,1,1,0,0,0,1,1,0,1,0,0,0,1,2,2,3,1,2019-05-01
2,1,0,5,1,2,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,1,2,2,0,0,2019-06-01
2,1,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,3,0,1,1,1,2,0,1,2019-07-01
1,2,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,2019-08-01
3,0,4,0,0,0,0,1,2,2,0,2,0,0,0,0,0,0,2,2,0,1,0,1,3,0,0,2019-09-01
2,0,3,1,0,1,0,0,3,0,0,4,0,0,0,1,0,0,1,1,0,0,2,0,2,0,2,2019-10-01
3,1,2,0,0,0,1,1,1,0,0,3,1,0,0,1,2,0,0,1,0,0,2,0,1,2,1,2019-11-01
5,1,1,2,0,2,0,1,1,1,1,2,0,0,0,0,1,0,1,1,0,0,5,0,3,0,1,2019-12-01
7,1,1,0,1,1,0,1,1,2,1,3,0,0,0,1,2,0,1,0,0,0,2,1,2,0,1,2020-01-01
4,0,0,3,0,0,0,2,0,1,0,5,1,0,1,1,0,0,2,2,0,1,3,0,1,0,3,2020-02-01
3,0,1,2,0,0,1,1,1,1,1,5,1,0,0,1,0,0,1,3,0,1,4,0,0,1,1,2020-03-01
4,0,1,1,1,0,1,4,2,1,0,1,1,0,0,0,0,0,2,7,0,0,0,1,1,1,2,2020-04-01
6,2,4,2,0,0,2,0,0,0,1,7,0,2,0,1,0,0,0,7,1,3,1,2,2,0,4,2020-05-01
10,0,1,1,0,0,0,4,0,1,0,4,0,0,0,1,0,1,0,2,0,1,1,0,1,0,3,2020-06-01
4,2,2,3,0,0,0,0,1,0,0,3,0,0,1,0,2,0,0,1,2,1,5,2,0,0,1,2020-07-01
2,1,1,4,1,1,0,0,1,0,0,4,0,0,0,1,0,0,1,3,0,3,3,1,0,1,1,2020-08-01
4,2,2,1,0,1,0,1,1,1,1,6,0,0,0,1,3,0,0,3,3,0,1,1,1,0,3,2020-09-01
3,2,1,1,1,0,1,4,1,1,1,7,0,0,1,2,0,0,1,3,1,2,5,2,1,2,0,2020-10-01
2,3,2,5,0,0,1,0,1,1,0,4,0,0,0,0,1,1,0,7,1,2,2,2,1,3,3,2020-11-01
3,1,1,1,1,2,1,5,1,1,0,2,0,2,0,0,1,0,0,3,0,3,1,1,2,0,0,2020-12-01
8,1,0,2,1,0,0,3,0,1,0,5,2,0,0,3,1,0,1,4,2,2,2,0,6,0,0,2021-01-01
5,1,0,1,1,0,0,0,1,0,1,9,0,0,0,2,0,0,1,6,3,5,2,3,0,0,1,2021-02-01
5,1,1,4,0,6,0,1,0,0,2,1,1,1,0,2,0,0,0,10,2,2,1,0,5,1,2,2021-03-01
7,2,1,2,0,0,2,1,0,2,0,4,1,0,0,1,1,1,1,6,0,1,2,1,3,1,2,2021-04-01
6,4,1,4,0,0,0,0,1,2,1,2,1,0,0,0,2,0,0,5,1,1,1,2,1,2,2,2021-05-01
5,0,1,1,0,1,1,0,2,2,1,9,0,0,0,0,0,0,1,9,2,2,1,1,2,0,4,2021-06-01
6,0,2,0,0,0,2,1,3,1,0,11,3,0,1,2,0,0,0,7,2,3,0,1,1,1,1,2021-07-01
6,2,0,2,0,2,0,2,2,2,0,6,1,1,0,1,0,1,2,2,1,2,0,1,5,1,1,2021-08-01
4,4,4,2,1,2,0,1,0,3,0,2,1,0,0,2,0,0,1,4,1,2,6,0,2,3,2,2021-09-01
5,0,1,3,2,2,0,2,1,1,0,8,2,0,0,1,3,1,1,8,3,2,1,2,3,1,3,2021-10-01
10,0,1,3,0,1,1,2,2,1,0,5,0,1,1,0,2,0,0,3,1,5,2,1,4,2,0,2021-11-01
2,2,0,1,1,1,3,4,1,0,0,1,0,0,0,0,0,2,0,6,3,4,3,1,4,0,0,2021-12-01
1,2,1,1,0,1,1,0,1,2,4,3,2,1,0,0,2,1,0,6,2,4,2,4,4,1,0,2022-01-01
3,0,2,0,0,1,3,1,1,2,1,1,2,0,0,0,1,3,4,7,1,2,1,2,2,1,1,2022-02-01
2,3,0,1,1,1,0,3,1,3,3,8,2,1,0,0,0,0,1,13,2,2,3,1,4,0,0,2022-03-01
3,1,1,1,0,0,1,2,1,1,1,9,0,0,0,0,0,1,2,6,0,2,1,0,1,0,3,2022-04-01
6,1,2,1,0,1,1,1,2,1,3,7,0,1,0,1,1,1,1,9,0,1,2,1,4,2,3,2022-05-01
8,2,2,1,1,1,1,1,1,3,3,12,2,0,1,1,2,0,1,9,2,4,3,0,3,0,1,2022-06-01
2,1,3,2,0,0,2,1,1,1,2,8,3,0,0,0,0,1,0,6,2,0,2,0,2,2,0,2022-07-01
5,0,2,2,1,0,2,2,1,1,0,8,1,1,0,1,3,1,3,3,1,2,2,1,4,1,4,2022-08-01
5,1,2,2,0,0,1,1,0,1,0,13,2,2,0,1,3,1,2,5,1,2,1,1,5,1,2,2022-09-01
7,4,2,1,0,1,3,2,1,0,0,8,1,1,1,0,0,2,0,6,2,5,6,3,3,1,4,2022-10-01
7,1,4,0,0,2,0,4,3,2,3,9,4,0,0,0,5,1,1,9,3,3,6,5,1,2,2,2022-11-01
2,0,4,0,0,2,2,0,2,0,2,3,1,2,1,1,1,1,0,5,3,4,3,4,10,2,1,2022-12-01
4,0,2,0,0,3,1,2,0,3,0,7,0,0,0,1,0,0,2,8,4,3,3,1,6,1,0,2023-01-01
8,1,2,1,2,3,0,2,1,1,2,7,0,1,1,1,1,0,1,5,3,3,3,2,3,2,4,2023-02-01
4,4,4,1,6,3,3,1,3,2,0,8,1,0,1,3,0,1,0,6,3,6,3,3,4,1,0,2023-03-01
6,4,6,1,0,1,1,5,2,0,1,8,2,1,0,2,0,2,1,5,8,4,4,3,1,0,0,2023-04-01
6,1,5,0,3,7,7,0,3,4,3,9,1,3,0,1,0,1,1,5,7,3,5,1,3,6,1,2023-05-01
14,2,3,0,1,4,0,3,2,1,3,15,2,4,1,1,1,1,1,7,7,6,7,7,0,3,0,2023-06-01
11,2,4,4,3,2,3,2,2,4,1,9,2,1,0,1,1,2,0,7,5,5,4,2,4,2,4,2023-07-01
8,0,3,0,1,2,5,2,3,0,2,11,2,1,0,2,0,0,2,14,6,5,3,7,2,2,0,2023-08-01
4,2,6,0,2,3,5,0,2,2,2,7,0,2,0,2,2,1,2,6,8,5,5,1,4,2,1,2023-09-01
7,3,2,3,6,4,3,2,4,2,3,14,3,2,2,0,0,0,5,6,7,6,4,6,2,4,2,2023-10-01
7,4,2,2,2,2,4,1,2,5,2,8,4,2,3,2,1,4,3,12,13,6,4,9,4,5,1,2023-11-01
8,4,2,1,6,1,3,2,0,1,0,15,2,1,5,1,3,0,1,8,11,10,7,6,2,8,2,2023-12-01
7,2,8,4,1,6,3,1,1,3,2,13,5,6,4,2,1,0,1,5,12,7,9,5,5,7,2,2024-01-01
11,1,6,4,8,1,2,2,0,1,6,10,1,2,3,2,1,1,0,8,8,6,10,7,3,2,4,2024-02-01
11,1,2,0,3,3,3,0,3,1,3,13,1,0,3,1,2,3,2,13,10,11,6,15,5,3,2,2024-03-01
15,4,3,0,4,5,5,2,5,4,5,12,1,3,3,2,0,5,1,9,16,4,5,6,4,3,2,2024-04-01
12,1,3,4,10,4,1,1,2,2,6,17,1,7,3,0,0,2,2,9,19,8,4,8,2,4,6,2024-05-01
9,4,7,4,7,5,5,2,4,3,1,15,5,5,4,1,2,1,2,10,17,7,6,3,6,8,6,2024-06-01
17,2,0,5,5,4,2,3,6,3,4,13,4,3,1,4,3,3,1,9,11,8,7,4,2,4,1,2024-07-01
11,3,7,3,2,5,2,5,8,1,3,10,3,4,4,1,2,2,2,7,10,5,2,5,3,9,3,2024-08-01
13,5,5,2,3,5,6,2,2,3,2,8,4,3,1,1,1,0,2,8,13,12,6,9,4,7,4,2024-09-01
22,9,4,4,13,4,3,5,4,3,3,13,2,6,4,1,0,2,1,9,13,8,7,10,9,7,1,2024-10-01
14,6,4,2,7,5,3,2,3,0,4,9,2,4,5,5,2,5,2,10,22,12,6,10,4,6,2,2024-11-01
17,7,2,4,10,5,2,2,2,2,1,14,4,3,7,1,1,8,1,13,17,7,6,9,6,7,6,2024-12-01
18,5,3,1,6,6,3,1,2,3,3,16,2,5,3,4,1,4,2,14,10,13,5,7,5,10,4,2025-01-01
18,5,6,2,14,5,5,0,6,4,2,13,3,2,5,3,2,3,2,11,22,17,8,14,7,8,7,2025-02-01
14,7,3,4,6,7,8,2,8,3,8,13,2,7,8,1,2,8,2,9,20,14,10,9,5,9,13,2025-03-01
23,5,5,1,6,6,2,3,3,3,6,11,1,0,5,4,0,4,4,14,20,9,10,10,10,11,7,2025-04-01
26,10,4,5,11,10,7,4,3,5,2,19,4,7,6,2,2,4,2,16,23,10,5,10,9,16,10,2025-05-01
17,6,4,4,13,8,12,1,2,3,0,12,2,3,8,6,4,6,2,8,21,11,7,9,9,15,9,2025-06-01
15,6,7,2,2,5,5,4,2,2,2,7,5,4,3,1,2,2,1,8,10,12,3,4,7,6,5,2025-07-01
